Model,F1 Score,Exact Match Score,Task,Description
Mistral-7B-Instruct-v0.2,81.4,78.9,Zero-shot NTSB Named Entity Recognition - Tail Numbers,This task enables the evaluation and comparison of the performance of large language models in the extraction of aircraft tail numbers from NTSB report narratives.
Mistral-7B-Instruct-v0.1,95.2,95.1,Zero-shot NTSB Named Entity Recognition - Tail Numbers,This task enables the evaluation and comparison of the performance of large language models in the extraction of aircraft tail numbers from NTSB report narratives.
Mistral-7B-Instruct-v0.2,,,Zero-shot NTSB Text Classification - ICAO CICCT Taxonomy,This task enables the evaluation and comparison of the performance of large language models in the classification of NTSB reports according to the ICAO CICCT taxonomy.
Mistral-7B-Instruct-v0.1,,,Zero-shot NTSB Text Classification - ICAO CICCT Taxonomy,This task enables the evaluation and comparison of the performance of large language models in the classification of NTSB reports according to the ICAO CICCT taxonomy.
Mistral-7B-Instruct-v0.2,,,Few-shot NTSB Named Entity Recognition - Tail Numbers,This task enables the evaluation and comparison of the performance of large language models in the extraction of aircraft tail numbers from NTSB report narratives.
Mistral-7B-Instruct-v0.1,,,Few-shot NTSB Named Entity Recognition - Tail Numbers,This task enables the evaluation and comparison of the performance of large language models in the extraction of aircraft tail numbers from NTSB report narratives.
Mistral-7B-Instruct-v0.2,48.9,,Few-shot sub-dialogue classification of ATC transcriptions,"This task enables the evaluation and comparison of the performance of large language models in the classification of pairs of neighboring radio transmission transcript pairs as being related or not, and/or containing segmentation errors from transcripts of Air Traffic Control dialogue "
Mistral-7B-Instruct-v0.2,22.9,,Few-shot token classification of ATC dialogue transcriptions,This task enables the evaluation and comparison of the performance of large language models in the classification of tokens in the input sequence with aviation semantic entity labels from transcripts of Air Traffic Control dialogue 
Aviation-Mistral-7B,95.1,95.1,Zero-shot NTSB Named Entity Recognition - Tail Numbers,This task enables the evaluation and comparison of the performance of large language models in the extraction of aircraft tail numbers from NTSB report narratives.
GPT-4,48.7,,Zero-shot classification of ATC dialogue transcriptions,This task enables the evaluation and comparison of the performance of large language models in the sequence classification of aviation semantic entity labels from transcripts of Air Traffic Control dialogue 
Aviation-Mistral-7B,,,Few-shot sub-dialogue classification of ATC transcriptions,"This task enables the evaluation and comparison of the performance of large language models in the classification of pairs of neighboring radio transmission transcript pairs as being related or not, and/or containing segmentation errors from transcripts of Air Traffic Control dialogue "
Aviation-Mistral-7B,22.9,,Few-shot token classification of ATC dialogue transcriptions,This task enables the evaluation and comparison of the performance of large language models in the classification of tokens in the input sequence with aviation semantic entity labels from transcripts of Air Traffic Control dialogue 
Mistral-7B-Instruct-v0.2,45.6,26.8,Zero-shot NTSB Classification - Aircraft Type,This task enables the evaluation and comparison of the performance of large language models in the classification of NTSB reports based on the type of aircraft involved in the accident
Mistral-7B-Instruct-v0.1,83.3,82.2,Zero-shot NTSB Classification - Aircraft Type,This task enables the evaluation and comparison of the performance of large language models in the classification of NTSB reports based on the type of aircraft involved in the accident
Mistral-7B-Instruct-v0.2,18,0.1,Zero-shot NTSB Classification - Aircraft Damage,This task enables the evaluation and comparison of the performance of large language models in the classification of NTSB reports based on the level of damage sustained by the aircraft
Mistral-7B-Instruct-v0.1,78.4,76.7,Zero-shot NTSB Classification - Aircraft Damage,This task enables the evaluation and comparison of the performance of large language models in the classification of NTSB reports based on the level of damage sustained by the aircraft
Mistral-7B-Instruct-v0.2,,,One-shot NTSB Classification - Aircraft Damage,This task enables the evaluation and comparison of the performance of large language models in the classification of NTSB reports based on the level of damage sustained by the aircraft
Mistral-7B-Instruct-v0.1,,,One-shot NTSB Classification - Aircraft Damage,This task enables the evaluation and comparison of the performance of large language models in the classification of NTSB reports based on the level of damage sustained by the aircraft
